"E","tau","L","rho"
"2","1","100","0.7585050383992353"
"2","1","100","0.7161862745557303"
"2","1","100","0.76568914829053"
"2","1","100","0.6845211063156138"
"2","1","100","0.6816777380770984"
"2","1","100","0.725433933706625"
"2","1","100","0.6903254931709013"
"2","1","100","0.7202061301464159"
"2","1","100","0.663220445522657"
"2","1","100","0.6607402729337958"
"2","1","100","0.7144158735993327"
"2","1","100","0.7542547338270176"
"2","1","100","0.7236968544455116"
"2","1","100","0.7279116727068226"
"2","1","100","0.7251405035897768"
"2","1","100","0.756709703499878"
"2","1","100","0.7129232988263688"
"2","1","100","0.6904973293258517"
"2","1","100","0.7060097067939869"
"2","1","100","0.7049187718188441"
"2","1","100","0.7271432638625372"
"2","1","100","0.6833125391516937"
"2","1","100","0.726192799775775"
"2","1","100","0.7075473817230835"
"2","1","100","0.7292257494624429"
"2","1","100","0.698178352906598"
"2","1","100","0.7539874899502791"
"2","1","100","0.728331664006197"
"2","1","100","0.7063678931310646"
"2","1","100","0.6111657827546727"
"2","1","100","0.6635346094450157"
"2","1","100","0.7134622952518552"
"2","1","100","0.7195261885581499"
"2","1","100","0.7297996065967985"
"2","1","100","0.7276739961190736"
"2","1","100","0.7207136830495864"
"2","1","100","0.6908483436327466"
"2","1","100","0.7128756760565732"
"2","1","100","0.7106857004672164"
"2","1","100","0.7273498169608583"
"2","1","100","0.7722432662985013"
"2","1","100","0.7029921208453931"
"2","1","100","0.7323484842109494"
"2","1","100","0.7058607641615943"
"2","1","100","0.7103736453832689"
"2","1","100","0.6720673935322484"
"2","1","100","0.7224533354978498"
"2","1","100","0.7393348671833018"
"2","1","100","0.5724736669142875"
"2","1","100","0.7266850592906134"
"2","1","200","0.7144926239516066"
"2","1","200","0.7462772728182872"
"2","1","200","0.7285118562170846"
"2","1","200","0.6923512229749674"
"2","1","200","0.7094258966846009"
"2","1","200","0.7346828503297043"
"2","1","200","0.756352829672442"
"2","1","200","0.7540733235195636"
"2","1","200","0.7130244758299559"
"2","1","200","0.6922792663319479"
"2","1","200","0.7195674601497195"
"2","1","200","0.7436295175907282"
"2","1","200","0.7230909189617756"
"2","1","200","0.7092534841530516"
"2","1","200","0.7268278478379997"
"2","1","200","0.7756110371425041"
"2","1","200","0.7076976952091167"
"2","1","200","0.725896195693456"
"2","1","200","0.7510211910116918"
"2","1","200","0.7235276595096779"
"2","1","200","0.7478734360995165"
"2","1","200","0.7554591913156233"
"2","1","200","0.7074190045228506"
"2","1","200","0.7454500219058106"
"2","1","200","0.7354428220824512"
"2","1","200","0.7444915283021333"
"2","1","200","0.7298664534882466"
"2","1","200","0.7318651405347003"
"2","1","200","0.5795380858372939"
"2","1","200","0.73886412441821"
"2","1","200","0.6948104018008225"
"2","1","200","0.7144476549430143"
"2","1","200","0.7405939484395421"
"2","1","200","0.697195371994279"
"2","1","200","0.7007366377095207"
"2","1","200","0.7125012367490434"
"2","1","200","0.6792852617110354"
"2","1","200","0.6565638748695606"
"2","1","200","0.7262883333947477"
"2","1","200","0.6737507253531136"
"2","1","200","0.7557914759354816"
"2","1","200","0.7095352610836574"
"2","1","200","0.6734149521366151"
"2","1","200","0.7254800643540057"
"2","1","200","0.7405025155478852"
"2","1","200","0.7110884121522513"
