E, tau, L, rho
2, 1, 200, -0.00985896
2, 1, 200, 0.00637375
2, 1, 200, -0.00119253
2, 1, 200, 0.0020961
2, 1, 200, 0.00153241
2, 1, 200, 0.00223698
2, 1, 200, -0.0083919
2, 1, 200, -0.00536438
2, 1, 200, 0.00485844
2, 1, 200, -0.00619384
2, 1, 200, 0.00334312
2, 1, 200, 0.00925111
2, 1, 200, -0.00876197
2, 1, 200, 0.00545558
2, 1, 200, -0.000665565
2, 1, 200, 0.00591619
2, 1, 200, -0.0011907
2, 1, 200, 0.00893618
2, 1, 200, 0.00432699
2, 1, 200, -0.00049363
2, 1, 200, -0.00287781
2, 1, 200, -0.00223472
2, 1, 200, 0.0178146
2, 1, 200, -0.00145498
2, 1, 200, 0.00309882
2, 1, 200, 0.0159498
2, 1, 200, -0.00262914
2, 1, 200, 0.00306847
2, 1, 200, 0.00595636
2, 1, 200, -0.0130794
2, 1, 200, 0.00490506
2, 1, 200, 0.00742126
2, 1, 200, 0.00925892
2, 1, 200, 0.0103539
2, 1, 200, 0.00393007
2, 1, 200, 0.0150288
2, 1, 200, -0.00549155
2, 1, 200, -0.00309249
2, 1, 200, 0.0154631
2, 1, 200, 0.00291842
2, 1, 200, 0.0122468
2, 1, 200, 0.00351738
2, 1, 200, -0.00535613
2, 1, 200, 0.00438622
2, 1, 200, 0.00521393
2, 1, 200, 0.0160442
2, 1, 200, 0.0259448
2, 1, 200, 0.00426872
2, 1, 200, -0.00254027
2, 1, 200, -0.000363906
2, 1, 200, 0.00538552
2, 1, 200, 0.00805398
2, 1, 200, -0.00726429
2, 1, 200, -0.000340959
2, 1, 200, -0.00919575
2, 1, 200, 0.000118102
2, 1, 200, 0.00796451
2, 1, 200, 0.00765597
2, 1, 200, 0.00496496
2, 1, 200, 0.0182076
2, 1, 200, 0.00492592
2, 1, 200, -0.0019043
2, 1, 200, 0.00761616
2, 1, 200, -0.00589101
2, 1, 200, 0.00777124
2, 1, 200, 0.00839759
2, 1, 200, 0.00322537
2, 1, 200, 0.00821519
2, 1, 200, 0.018516
2, 1, 200, 0.0059076
2, 1, 200, -0.00387201
2, 1, 200, 0.00186832
2, 1, 200, 0.00392112
2, 1, 200, 0.00839308
2, 1, 200, -0.00414868
2, 1, 200, 0.010137
2, 1, 200, -0.00298303
2, 1, 200, -0.00631688
2, 1, 200, 0.00627793
2, 1, 200, -0.00312082
2, 1, 200, -0.00280259
2, 1, 200, 0.0126745
2, 1, 200, 0.00300714
2, 1, 200, -0.00193983
2, 1, 200, 0.0141965
2, 1, 200, 0.0221435
2, 1, 200, 0.0157423
2, 1, 200, -0.0142865
2, 1, 200, -0.0111433
2, 1, 200, 0.0136553
2, 1, 200, -0.00640334
2, 1, 200, -0.00215067
2, 1, 200, -0.00848967
2, 1, 200, 0.00400789
2, 1, 200, 0.00141734
2, 1, 200, 0.0142672
2, 1, 200, 0.0175058
2, 1, 200, 0.00195498
2, 1, 200, 0.011003
2, 1, 200, -0.0108744
2, 1, 200, -0.00524128
2, 1, 200, -0.00256963
2, 1, 200, 0.00945729
2, 1, 200, -0.000653787
2, 1, 200, 0.00717459
2, 1, 200, 0.000929006
2, 1, 200, 0.00150437
2, 1, 200, 0.00277887
2, 1, 200, -0.000254517
2, 1, 200, 0.00218956
2, 1, 200, 0.00870168
2, 1, 200, 0.00318513
2, 1, 200, 0.00129502
2, 1, 200, 0.00936626
2, 1, 200, 0.0101505
2, 1, 200, -0.00961423
2, 1, 200, 0.0095037
2, 1, 200, 0.00458731
2, 1, 200, 0.0154209
2, 1, 200, 0.00332013
2, 1, 200, -0.00562326
2, 1, 200, 0.000175318
2, 1, 200, 0.00298439
2, 1, 200, 0.000327775
2, 1, 200, 0.00275035
2, 1, 200, -0.00586321
2, 1, 200, 0.00772511
2, 1, 200, 0.00101187
2, 1, 200, 0.01829
2, 1, 200, -0.0138222
2, 1, 200, 0.0108758
2, 1, 200, 0.0150319
2, 1, 200, 0.000959682
2, 1, 200, 0.0130404
2, 1, 200, 0.00992626
2, 1, 200, 0.00770499
2, 1, 200, 0.0129797
2, 1, 200, 0.0077568
2, 1, 200, 0.000589264
2, 1, 200, 0.000784724
2, 1, 200, 0.000970975
2, 1, 200, -0.0126697
2, 1, 200, 0.00901934
2, 1, 200, -0.00226468
2, 1, 200, -0.00302009
2, 1, 200, 0.00938571
2, 1, 200, -0.0101154
2, 1, 200, 0.00313389
2, 1, 200, -0.003024
2, 1, 200, 0.0050305
2, 1, 200, 0.00135027
2, 1, 200, 0.0138593
2, 1, 200, 0.000641764
2, 1, 200, -0.00509078
2, 1, 200, 0.00723519
2, 1, 200, 7.51064e-05
2, 1, 200, -0.0021925
2, 1, 200, -0.00839042
2, 1, 200, -0.00573237
2, 1, 200, 0.00311551
2, 1, 200, 0.00455045
2, 1, 200, -0.00796745
2, 1, 200, 0.0100451
2, 1, 200, -0.0094811
2, 1, 200, 0.0168832
2, 1, 200, 0.00623054
2, 1, 200, -0.00495953
2, 1, 200, 0.00738587
2, 1, 200, -0.0136164
2, 1, 200, 0.0188075
2, 1, 200, -0.00262562
2, 1, 200, -0.001968
2, 1, 200, 0.00316264
2, 1, 200, 0.00344983
2, 1, 200, 0.00736878
2, 1, 200, 0.00293695
2, 1, 200, 0.00788102
2, 1, 200, 0.00696055
2, 1, 200, 0.00259536
2, 1, 200, 0.000782941
2, 1, 200, 0.00706965
2, 1, 200, -5.35253e-05
2, 1, 200, -0.011894
2, 1, 200, 0.00186087
2, 1, 200, 0.0020507
2, 1, 200, 0.0202214
2, 1, 200, -0.00298158
2, 1, 200, 0.00313386
2, 1, 200, 0.0106781
2, 1, 200, -0.00236817
2, 1, 200, 0.00481783
2, 1, 200, -0.008463
2, 1, 200, 0.0113548
2, 1, 200, -0.011196
2, 1, 200, 0.0142358
2, 1, 200, 0.00573273
2, 1, 200, 0.0108002
2, 1, 200, 0.00141105
2, 1, 200, 0.000754728
2, 1, 200, 0.0125757
2, 1, 200, 0.0152151
2, 1, 200, 0.00732608
2, 1, 200, -0.00141217
2, 1, 200, -0.000832662
2, 1, 200, 0.00246168
2, 1, 200, 0.0063501
2, 1, 200, -0.000733059
2, 1, 200, 0.00336458
2, 1, 200, 0.0052924
2, 1, 200, 0.00653402
2, 1, 200, 0.0131211
2, 1, 200, -0.000103628
2, 1, 200, 0.0167586
