E, tau, L, rho
3, 1, 800, 0.917174
3, 1, 800, 0.859509
3, 1, 800, 0.905911
3, 1, 800, 0.885808
3, 1, 800, 0.917054
3, 1, 800, 0.88488
3, 1, 800, 0.914995
3, 1, 800, 0.848505
3, 1, 800, 0.846191
3, 1, 800, 0.865705
3, 1, 800, 0.858514
3, 1, 800, 0.875799
3, 1, 800, 0.870668
3, 1, 800, 0.867084
3, 1, 800, 0.825622
3, 1, 800, 0.8139
3, 1, 800, 0.867568
3, 1, 800, 0.895401
3, 1, 800, 0.87432
3, 1, 800, 0.903894
3, 1, 800, 0.87323
3, 1, 800, 0.911168
3, 1, 800, 0.844106
3, 1, 800, 0.877749
3, 1, 800, 0.906555
3, 1, 800, 0.800237
3, 1, 800, 0.895233
3, 1, 800, 0.908007
3, 1, 800, 0.913021
3, 1, 800, 0.899722
3, 1, 800, 0.957162
3, 1, 800, 0.92544
3, 1, 800, 0.895554
3, 1, 800, 0.914387
3, 1, 800, 0.9069
3, 1, 800, 0.885171
3, 1, 800, 0.911967
3, 1, 800, 0.888887
3, 1, 800, 0.884556
3, 1, 800, 0.877215
3, 1, 800, 0.853483
3, 1, 800, 0.886117
3, 1, 800, 0.922336
3, 1, 800, 0.927785
3, 1, 800, 0.837337
3, 1, 800, 0.859691
3, 1, 800, 0.927539
3, 1, 800, 0.806085
3, 1, 800, 0.836501
3, 1, 800, 0.84014
3, 1, 700, 0.891406
3, 1, 700, 0.882029
3, 1, 700, 0.807223
3, 1, 700, 0.893215
3, 1, 700, 0.872885
3, 1, 700, 0.814417
3, 1, 700, 0.784416
3, 1, 700, 0.88392
3, 1, 700, 0.835238
3, 1, 700, 0.783901
3, 1, 700, 0.818643
3, 1, 700, 0.818161
3, 1, 700, 0.87328
3, 1, 700, 0.838653
3, 1, 700, 0.864211
3, 1, 700, 0.878849
3, 1, 700, 0.853065
3, 1, 700, 0.831959
3, 1, 700, 0.880937
3, 1, 700, 0.841599
3, 1, 700, 0.889758
3, 1, 700, 0.839941
3, 1, 700, 0.87343
3, 1, 700, 0.848715
3, 1, 700, 0.851058
3, 1, 700, 0.815078
3, 1, 700, 0.869192
3, 1, 700, 0.864549
3, 1, 700, 0.841525
3, 1, 700, 0.857176
3, 1, 700, 0.849526
3, 1, 700, 0.879644
3, 1, 700, 0.875509
3, 1, 700, 0.87484
3, 1, 700, 0.857212
3, 1, 700, 0.851047
3, 1, 700, 0.870522
3, 1, 700, 0.845376
3, 1, 700, 0.887983
3, 1, 700, 0.822617
3, 1, 700, 0.860154
3, 1, 700, 0.875373
3, 1, 700, 0.855477
3, 1, 700, 0.845954
3, 1, 700, 0.849624
3, 1, 700, 0.871657
3, 1, 700, 0.872384
3, 1, 700, 0.867681
3, 1, 700, 0.858752
3, 1, 700, 0.881907
3, 1, 600, 0.854091
3, 1, 600, 0.826447
3, 1, 600, 0.856929
3, 1, 600, 0.857356
3, 1, 600, 0.812925
3, 1, 600, 0.866118
3, 1, 600, 0.887892
3, 1, 600, 0.865944
3, 1, 600, 0.815602
3, 1, 600, 0.804946
3, 1, 600, 0.871926
3, 1, 600, 0.850369
3, 1, 600, 0.858272
3, 1, 600, 0.878194
3, 1, 600, 0.836482
3, 1, 600, 0.853482
3, 1, 600, 0.818528
3, 1, 600, 0.89592
3, 1, 600, 0.863602
3, 1, 600, 0.821653
3, 1, 600, 0.837201
3, 1, 600, 0.844759
3, 1, 600, 0.905582
3, 1, 600, 0.849375
3, 1, 600, 0.898883
3, 1, 600, 0.797608
3, 1, 600, 0.782936
3, 1, 600, 0.866363
3, 1, 600, 0.832392
3, 1, 600, 0.8809
3, 1, 600, 0.840339
3, 1, 600, 0.831283
3, 1, 600, 0.866786
3, 1, 600, 0.86944
3, 1, 600, 0.819426
3, 1, 600, 0.849559
3, 1, 600, 0.836103
3, 1, 600, 0.858881
3, 1, 600, 0.838261
3, 1, 600, 0.835308
3, 1, 600, 0.85861
3, 1, 600, 0.812361
3, 1, 600, 0.8754
3, 1, 600, 0.834588
3, 1, 600, 0.803241
3, 1, 600, 0.85626
3, 1, 600, 0.880681
3, 1, 600, 0.834085
3, 1, 600, 0.830682
3, 1, 600, 0.8387
3, 1, 500, 0.800997
3, 1, 500, 0.862429
3, 1, 500, 0.805175
3, 1, 500, 0.830051
3, 1, 500, 0.862143
3, 1, 500, 0.838639
3, 1, 500, 0.826251
3, 1, 500, 0.872815
3, 1, 500, 0.817594
3, 1, 500, 0.796532
3, 1, 500, 0.797099
3, 1, 500, 0.822089
3, 1, 500, 0.853691
3, 1, 500, 0.833554
3, 1, 500, 0.871087
3, 1, 500, 0.842141
3, 1, 500, 0.823215
3, 1, 500, 0.861924
3, 1, 500, 0.845591
3, 1, 500, 0.843673
3, 1, 500, 0.834443
3, 1, 500, 0.787481
3, 1, 500, 0.809263
3, 1, 500, 0.859253
3, 1, 500, 0.780061
3, 1, 500, 0.785341
3, 1, 500, 0.846648
3, 1, 500, 0.835487
3, 1, 500, 0.813179
3, 1, 500, 0.784099
3, 1, 500, 0.869905
3, 1, 500, 0.862714
3, 1, 500, 0.844167
3, 1, 500, 0.805094
3, 1, 500, 0.798876
3, 1, 500, 0.827574
3, 1, 500, 0.860485
3, 1, 500, 0.857356
3, 1, 500, 0.843177
3, 1, 500, 0.768822
3, 1, 500, 0.849331
3, 1, 500, 0.813508
3, 1, 500, 0.852869
3, 1, 500, 0.820897
3, 1, 500, 0.816757
3, 1, 500, 0.774552
3, 1, 500, 0.822127
3, 1, 500, 0.757596
3, 1, 500, 0.821115
3, 1, 500, 0.795175
3, 1, 100, 0.673743
3, 1, 100, 0.793689
3, 1, 100, 0.740108
3, 1, 100, 0.735411
3, 1, 100, 0.737316
3, 1, 100, 0.731776
3, 1, 100, 0.710887
3, 1, 100, 0.808525
3, 1, 100, 0.739914
3, 1, 100, 0.767624
3, 1, 100, 0.707009
3, 1, 100, 0.767061
3, 1, 100, 0.755749
3, 1, 100, 0.777469
3, 1, 100, 0.756266
3, 1, 100, 0.750639
3, 1, 100, 0.747448
3, 1, 100, 0.77506
3, 1, 100, 0.728999
3, 1, 100, 0.785362
3, 1, 100, 0.749578
3, 1, 100, 0.7513
3, 1, 100, 0.800403
3, 1, 100, 0.800126
3, 1, 100, 0.686421
3, 1, 100, 0.755904
3, 1, 100, 0.549265
3, 1, 100, 0.569799
3, 1, 100, 0.716777
3, 1, 100, 0.782319
3, 1, 100, 0.72641
3, 1, 100, 0.749902
3, 1, 100, 0.717363
3, 1, 100, 0.790448
3, 1, 100, 0.72437
3, 1, 100, 0.801654
3, 1, 100, 0.733516
3, 1, 100, 0.755748
3, 1, 100, 0.736625
3, 1, 100, 0.785022
3, 1, 100, 0.74118
3, 1, 100, 0.64278
3, 1, 100, 0.828247
3, 1, 100, 0.697119
3, 1, 100, 0.779933
3, 1, 100, 0.790542
3, 1, 100, 0.74856
3, 1, 100, 0.724714
3, 1, 100, 0.750737
3, 1, 100, 0.707285
3, 1, 200, 0.80181
3, 1, 200, 0.78885
3, 1, 200, 0.807649
3, 1, 200, 0.728133
3, 1, 200, 0.748615
3, 1, 200, 0.777162
3, 1, 200, 0.780556
3, 1, 200, 0.794201
3, 1, 200, 0.816761
3, 1, 200, 0.775475
3, 1, 200, 0.75693
3, 1, 200, 0.763396
3, 1, 200, 0.636403
3, 1, 200, 0.757728
3, 1, 200, 0.786774
3, 1, 200, 0.751837
3, 1, 200, 0.744996
3, 1, 200, 0.794468
3, 1, 200, 0.801618
3, 1, 200, 0.777707
3, 1, 200, 0.781667
