E, tau, L, rho
3, 1, 700, 0.999983
3, 1, 700, 0.999985
3, 1, 700, 0.999987
3, 1, 700, 0.999986
3, 1, 700, 0.999986
3, 1, 700, 0.999987
3, 1, 700, 0.999985
3, 1, 700, 0.999985
3, 1, 700, 0.999985
3, 1, 700, 0.999982
3, 1, 700, 0.999981
3, 1, 700, 0.999978
3, 1, 700, 0.999984
3, 1, 700, 0.999989
3, 1, 700, 0.999982
3, 1, 700, 0.999982
3, 1, 700, 0.999985
3, 1, 700, 0.99999
3, 1, 700, 0.999985
3, 1, 700, 0.999987
3, 1, 700, 0.999974
3, 1, 700, 0.999988
3, 1, 700, 0.999979
3, 1, 700, 0.999988
3, 1, 700, 0.999984
3, 1, 700, 0.99998
3, 1, 700, 0.999984
3, 1, 700, 0.999987
3, 1, 700, 0.999989
3, 1, 700, 0.999989
3, 1, 700, 0.999984
3, 1, 700, 0.999987
3, 1, 700, 0.999987
3, 1, 700, 0.999982
3, 1, 700, 0.99998
3, 1, 700, 0.999981
3, 1, 700, 0.99998
3, 1, 700, 0.999989
3, 1, 700, 0.999988
3, 1, 700, 0.999987
3, 1, 700, 0.999985
3, 1, 700, 0.999985
3, 1, 700, 0.999989
3, 1, 700, 0.999985
3, 1, 700, 0.999981
3, 1, 700, 0.999987
3, 1, 700, 0.999986
3, 1, 700, 0.999985
3, 1, 700, 0.999985
3, 1, 700, 0.999985
