E, tau, L, rho
2, 1, 200, 0.00578414
2, 1, 200, 0.00197043
2, 1, 200, 0.00844701
2, 1, 200, 0.012349
2, 1, 200, 0.00512207
2, 1, 200, 0.00210611
2, 1, 200, 0.00022198
2, 1, 200, 0.00705445
2, 1, 200, 0.0064424
2, 1, 200, 0.00568904
2, 1, 200, 0.0125492
2, 1, 200, 0.00297484
2, 1, 200, 0.00588777
2, 1, 200, 0.00232285
2, 1, 200, 0.0160979
2, 1, 200, -0.00489081
2, 1, 200, -0.00472794
2, 1, 200, -0.00347127
2, 1, 200, 0.00269128
2, 1, 200, -0.00772755
2, 1, 200, 0.00240551
2, 1, 200, 0.00860164
2, 1, 200, 0.0111571
2, 1, 200, -0.00484112
2, 1, 200, -0.000593395
2, 1, 200, -0.00124697
2, 1, 200, 0.000501835
2, 1, 200, -0.00490433
2, 1, 200, 0.00591826
2, 1, 200, 0.00440854
2, 1, 200, -0.00659433
2, 1, 200, 0.00746015
2, 1, 200, 0.000514327
2, 1, 200, 0.00630155
2, 1, 200, 0.0140334
2, 1, 200, -0.00649438
2, 1, 200, 0.000537852
2, 1, 200, -0.00843898
2, 1, 200, -0.0016396
2, 1, 200, 0.00198869
2, 1, 200, -0.0128826
2, 1, 200, -0.00983854
2, 1, 200, -0.00112872
2, 1, 200, 0.00117087
2, 1, 200, 0.000159373
2, 1, 200, 0.00781545
2, 1, 200, -0.0021624
2, 1, 200, -0.0121886
2, 1, 200, -0.00039032
2, 1, 200, 0.0153013
2, 1, 200, -0.00635014
2, 1, 200, 0.00301288
2, 1, 200, 0.00843185
2, 1, 200, 0.0015192
2, 1, 200, 0.0105121
2, 1, 200, 0.00690643
2, 1, 200, 0.0112595
2, 1, 200, -0.00283507
2, 1, 200, 0.00714821
2, 1, 200, -0.0014389
2, 1, 200, 0.0124437
2, 1, 200, 0.00130478
2, 1, 200, 0.000510721
2, 1, 200, 0.00111256
2, 1, 200, -0.00186231
2, 1, 200, 0.000224179
2, 1, 200, 0.00640625
2, 1, 200, -0.00625359
2, 1, 200, -0.00504589
2, 1, 200, -0.000991136
2, 1, 200, 0.0176778
2, 1, 200, -0.00840414
2, 1, 200, -0.00582186
2, 1, 200, -0.00307605
2, 1, 200, 0.000691905
2, 1, 200, 0.000559638
2, 1, 200, 0.000846134
2, 1, 200, 0.00960484
2, 1, 200, -0.0182323
2, 1, 200, -0.0044392
2, 1, 200, 0.000370322
2, 1, 200, 0.0211825
2, 1, 200, 0.0116177
2, 1, 200, -0.000822748
2, 1, 200, 0.00684071
2, 1, 200, -0.00547471
2, 1, 200, -0.00417197
2, 1, 200, 0.000719362
2, 1, 200, -0.00369798
2, 1, 200, 0.00964092
2, 1, 200, 0.00218702
2, 1, 200, 0.00150732
2, 1, 200, 0.0133219
2, 1, 200, -0.00784182
2, 1, 200, 0.0131571
2, 1, 200, 0.0151682
2, 1, 200, -0.00610563
2, 1, 200, -0.00562789
2, 1, 200, 0.00994751
2, 1, 200, -0.00498164
2, 1, 200, -0.000667116
2, 1, 200, 0.0280907
2, 1, 200, -0.00404228
2, 1, 200, -0.0140302
2, 1, 200, -0.00414131
2, 1, 200, -0.00363145
2, 1, 200, -0.000822948
2, 1, 200, 0.00334855
2, 1, 200, -8.3781e-05
2, 1, 200, 0.00848078
2, 1, 200, 0.00711177
2, 1, 200, -0.0012579
2, 1, 200, 0.0117981
2, 1, 200, 0.00217845
2, 1, 200, -0.00162518
2, 1, 200, 0.0147256
2, 1, 200, 0.00756388
2, 1, 200, 0.00372537
2, 1, 200, -0.00704423
2, 1, 200, -0.00328587
2, 1, 200, 0.00709476
2, 1, 200, -0.00063648
2, 1, 200, 0.0147747
2, 1, 200, 0.000254874
2, 1, 200, 0.00209304
2, 1, 200, 0.00186105
2, 1, 200, 0.00504836
2, 1, 200, 0.000403561
2, 1, 200, 0.00111885
2, 1, 200, -0.00188475
2, 1, 200, 0.0152322
2, 1, 200, 0.00501029
2, 1, 200, -0.00174794
2, 1, 200, 0.00902228
2, 1, 200, 0.0145866
2, 1, 200, 0.00889681
2, 1, 200, 0.00529776
2, 1, 200, 0.000650627
2, 1, 200, -0.000194016
2, 1, 200, 0.00533439
2, 1, 200, 0.0136134
2, 1, 200, 0.00322297
2, 1, 200, 0.00425029
2, 1, 200, -0.00579357
2, 1, 200, -0.00207007
2, 1, 200, -0.00600062
2, 1, 200, 0.00891483
2, 1, 200, 0.0065551
2, 1, 200, 0.00161444
2, 1, 200, 0.00147128
2, 1, 200, 0.00721325
2, 1, 200, 0.00376944
2, 1, 200, 0.0177699
2, 1, 200, 0.00333341
2, 1, 200, -0.000293679
2, 1, 200, 0.00407732
2, 1, 200, -0.00436555
2, 1, 200, -0.00297001
2, 1, 200, 0.00844218
2, 1, 200, 0.0063622
2, 1, 200, -0.00557426
2, 1, 200, 0.00200435
2, 1, 200, 0.00366787
2, 1, 200, -0.00261178
2, 1, 200, 0.00205345
2, 1, 200, 0.0101043
2, 1, 200, -0.00745514
2, 1, 200, 0.000784001
2, 1, 200, -0.00297887
2, 1, 200, 0.00678263
2, 1, 200, -0.00786514
2, 1, 200, 0.00612169
2, 1, 200, -0.0049546
2, 1, 200, 0.00223984
2, 1, 200, 0.0117621
2, 1, 200, 0.0101968
2, 1, 200, 0.00677687
2, 1, 200, 0.00437775
2, 1, 200, -0.011945
2, 1, 200, 0.00259178
2, 1, 200, 0.00193844
2, 1, 200, 0.0121826
2, 1, 200, -0.00705717
2, 1, 200, -0.00472483
2, 1, 200, 0.00163909
2, 1, 200, 0.00457825
2, 1, 200, 0.0205405
2, 1, 200, 0.0001092
2, 1, 200, 0.0167084
2, 1, 200, 0.00715058
2, 1, 200, -0.002135
2, 1, 200, 0.0129132
2, 1, 200, -0.00569309
2, 1, 200, 0.00320954
2, 1, 200, 0.00536731
2, 1, 200, 0.004858
2, 1, 200, 0.00455019
2, 1, 200, -0.000681393
2, 1, 200, 0.0263057
2, 1, 200, 0.00734551
2, 1, 200, 0.0060605
2, 1, 200, 0.00777641
2, 1, 200, -0.00813686
2, 1, 200, 0.00354761
2, 1, 200, 0.0137743
2, 1, 200, 0.00554618
2, 1, 200, 0.00289894
2, 1, 200, 0.00248222
2, 1, 200, 0.00461005
2, 1, 200, -0.000987005
2, 1, 200, 0.0129591
2, 1, 200, 0.00567241
2, 1, 200, 0.0107702
2, 1, 200, 5.80134e-05
2, 1, 200, 0.0104659
2, 1, 200, 0.0083616
