,E,tau,L,rho
0,2.0,1.0,100.0,0.619762659072876
1,2.0,1.0,100.0,0.7112311720848083
2,2.0,1.0,100.0,0.7433595061302185
3,2.0,1.0,100.0,0.7519182562828064
4,2.0,1.0,100.0,0.720353364944458
5,2.0,1.0,100.0,0.7097508311271667
6,2.0,1.0,100.0,0.6515883207321167
7,2.0,1.0,100.0,0.6861884593963623
8,2.0,1.0,100.0,0.687481164932251
9,2.0,1.0,100.0,0.779995858669281
10,2.0,1.0,100.0,0.7115845680236816
11,2.0,1.0,100.0,0.7689351439476013
12,2.0,1.0,100.0,0.776545524597168
13,2.0,1.0,100.0,0.6816668510437012
14,2.0,1.0,100.0,0.7296826839447021
15,2.0,1.0,100.0,0.424845814704895
16,2.0,1.0,100.0,0.7166280150413513
17,2.0,1.0,100.0,0.692539393901825
18,2.0,1.0,100.0,0.6815244555473328
19,2.0,1.0,100.0,0.73651123046875
20,2.0,1.0,100.0,0.6229372620582581
21,2.0,1.0,100.0,0.6962172985076904
22,2.0,1.0,100.0,0.7273606657981873
23,2.0,1.0,100.0,0.7302220463752747
24,2.0,1.0,100.0,0.719589352607727
25,2.0,1.0,100.0,0.7148964405059814
26,2.0,1.0,100.0,0.6414501667022705
27,2.0,1.0,100.0,0.7425217032432556
28,2.0,1.0,100.0,0.7350084185600281
29,2.0,1.0,100.0,0.7077934741973877
30,2.0,1.0,100.0,0.6017858982086182
31,2.0,1.0,100.0,0.737529993057251
32,2.0,1.0,100.0,0.715331494808197
33,2.0,1.0,100.0,0.7992721199989319
34,2.0,1.0,100.0,0.7305337190628052
35,2.0,1.0,100.0,0.6378600001335144
36,2.0,1.0,100.0,0.7200595140457153
37,2.0,1.0,100.0,0.5241268277168274
38,2.0,1.0,100.0,0.7366959452629089
39,2.0,1.0,100.0,0.6807539463043213
40,2.0,1.0,100.0,0.6012402176856995
41,2.0,1.0,100.0,0.6984860897064209
42,2.0,1.0,100.0,0.7619112730026245
43,2.0,1.0,100.0,0.6993660926818848
44,2.0,1.0,100.0,0.6792622804641724
45,2.0,1.0,100.0,0.6965870261192322
46,2.0,1.0,100.0,0.7145957350730896
47,2.0,1.0,100.0,0.7292262315750122
48,2.0,1.0,100.0,0.5979946255683899
49,2.0,1.0,100.0,0.7221027612686157
50,2.0,1.0,100.0,0.6612261533737183
51,2.0,1.0,100.0,0.734127938747406
52,2.0,1.0,100.0,0.7310705780982971
53,2.0,1.0,100.0,0.6968987584114075
54,2.0,1.0,100.0,0.6873410940170288
55,2.0,1.0,100.0,0.6653784513473511
56,2.0,1.0,100.0,0.7333411574363708
57,2.0,1.0,100.0,0.7445153594017029
58,2.0,1.0,100.0,0.7133455276489258
59,2.0,1.0,100.0,0.7394452095031738
60,2.0,1.0,100.0,0.6626966595649719
61,2.0,1.0,100.0,0.683089554309845
62,2.0,1.0,100.0,0.7174643874168396
63,2.0,1.0,100.0,0.7266168594360352
64,2.0,1.0,100.0,0.7193057537078857
65,2.0,1.0,100.0,0.7161156535148621
66,2.0,1.0,100.0,0.6794710755348206
67,2.0,1.0,100.0,0.7353658080101013
68,2.0,1.0,100.0,0.6975809931755066
69,2.0,1.0,100.0,0.7358646392822266
70,2.0,1.0,100.0,0.7338289022445679
71,2.0,1.0,100.0,0.6891606450080872
72,2.0,1.0,100.0,0.576858401298523
73,2.0,1.0,100.0,0.7095857262611389
74,2.0,1.0,100.0,0.7245042324066162
75,2.0,1.0,100.0,0.7560288310050964
76,2.0,1.0,100.0,0.7506865859031677
77,2.0,1.0,100.0,0.7315395474433899
78,2.0,1.0,100.0,0.7182447910308838
79,2.0,1.0,100.0,0.6859420537948608
80,2.0,1.0,100.0,0.7087951302528381
81,2.0,1.0,100.0,0.6823320984840393
82,2.0,1.0,100.0,0.7228518128395081
83,2.0,1.0,100.0,0.7218610644340515
84,2.0,1.0,100.0,0.6916104555130005
85,2.0,1.0,100.0,0.7343538403511047
86,2.0,1.0,100.0,0.678647518157959
87,2.0,1.0,100.0,0.6765173077583313
88,2.0,1.0,100.0,0.6951649785041809
89,2.0,1.0,100.0,0.7019269466400146
90,2.0,1.0,100.0,0.7705298662185669
91,2.0,1.0,100.0,0.674526572227478
92,2.0,1.0,100.0,0.7318397760391235
93,2.0,1.0,100.0,0.7157391905784607
94,2.0,1.0,100.0,0.7129538655281067
95,2.0,1.0,100.0,0.7556195855140686
96,2.0,1.0,100.0,0.7255547046661377
97,2.0,1.0,100.0,0.5851477384567261
98,2.0,1.0,100.0,0.7190421223640442
99,2.0,1.0,100.0,0.6821914911270142
100,2.0,1.0,100.0,0.6854056119918823
101,2.0,1.0,100.0,0.7228901982307434
102,2.0,1.0,100.0,0.7052006125450134
103,2.0,1.0,100.0,0.687125563621521
104,2.0,1.0,100.0,0.6969279050827026
105,2.0,1.0,100.0,0.7184836864471436
106,2.0,1.0,100.0,0.7376516461372375
107,2.0,1.0,100.0,0.6694324016571045
108,2.0,1.0,100.0,0.742283284664154
109,2.0,1.0,100.0,0.645592987537384
110,2.0,1.0,100.0,0.7068814635276794
111,2.0,1.0,100.0,0.6994984149932861
112,2.0,1.0,100.0,0.7115563154220581
113,2.0,1.0,100.0,0.6901558041572571
114,2.0,1.0,100.0,0.6614079475402832
115,2.0,1.0,100.0,0.6146137118339539
116,2.0,1.0,100.0,0.6826884150505066
117,2.0,1.0,100.0,0.6619162559509277
118,2.0,1.0,100.0,0.7164210081100464
119,2.0,1.0,100.0,0.6759003400802612
120,2.0,1.0,100.0,0.64579176902771
121,2.0,1.0,100.0,0.6940466165542603
122,2.0,1.0,100.0,0.6714295148849487
123,2.0,1.0,100.0,0.7242571115493774
124,2.0,1.0,100.0,0.6934227347373962
125,2.0,1.0,100.0,0.7518077492713928
126,2.0,1.0,100.0,0.7172149419784546
127,2.0,1.0,100.0,0.7163832783699036
128,2.0,1.0,100.0,0.7325151562690735
129,2.0,1.0,100.0,0.7703320384025574
130,2.0,1.0,100.0,0.7327580451965332
131,2.0,1.0,100.0,0.6863778233528137
132,2.0,1.0,100.0,0.6796445250511169
133,2.0,1.0,100.0,0.6819577813148499
134,2.0,1.0,100.0,0.6884266138076782
135,2.0,1.0,100.0,0.726489782333374
136,2.0,1.0,100.0,0.6699470281600952
137,2.0,1.0,100.0,0.7225044369697571
138,2.0,1.0,100.0,0.6961836814880371
139,2.0,1.0,100.0,0.748259961605072
140,2.0,1.0,100.0,0.7122517824172974
141,2.0,1.0,100.0,0.7075715065002441
142,2.0,1.0,100.0,0.7200857400894165
143,2.0,1.0,100.0,0.7203437685966492
144,2.0,1.0,100.0,0.7123705148696899
145,2.0,1.0,100.0,0.7205050587654114
146,2.0,1.0,100.0,0.654345691204071
147,2.0,1.0,100.0,0.7127806544303894
148,2.0,1.0,100.0,0.722257673740387
149,2.0,1.0,100.0,0.6998052597045898
150,2.0,1.0,100.0,0.7205740213394165
151,2.0,1.0,100.0,0.7382040023803711
152,2.0,1.0,100.0,0.7014980912208557
153,2.0,1.0,100.0,0.727472722530365
154,2.0,1.0,100.0,0.7381420135498047
155,2.0,1.0,100.0,0.7146841287612915
156,2.0,1.0,100.0,0.7231084704399109
157,2.0,1.0,100.0,0.7113004326820374
158,2.0,1.0,100.0,0.6814717054367065
159,2.0,1.0,100.0,0.6569622159004211
160,2.0,1.0,100.0,0.7005107402801514
161,2.0,1.0,100.0,0.6913495063781738
162,2.0,1.0,100.0,0.6951296329498291
163,2.0,1.0,100.0,0.6264601349830627
164,2.0,1.0,100.0,0.6860678195953369
165,2.0,1.0,100.0,0.6099334955215454
166,2.0,1.0,100.0,0.582857072353363
167,2.0,1.0,100.0,0.5731409788131714
168,2.0,1.0,100.0,0.766474187374115
169,2.0,1.0,100.0,0.68805992603302
170,2.0,1.0,100.0,0.7277816534042358
171,2.0,1.0,100.0,0.7325540781021118
172,2.0,1.0,100.0,0.7072361707687378
173,2.0,1.0,100.0,0.6441323161125183
174,2.0,1.0,100.0,0.7021737694740295
175,2.0,1.0,100.0,0.7026230096817017
176,2.0,1.0,100.0,0.6727413535118103
177,2.0,1.0,100.0,0.7022312879562378
178,2.0,1.0,100.0,0.6907938718795776
179,2.0,1.0,100.0,0.6303483247756958
180,2.0,1.0,100.0,0.7268731594085693
181,2.0,1.0,100.0,0.7427605986595154
182,2.0,1.0,100.0,0.6814591884613037
183,2.0,1.0,100.0,0.7245248556137085
184,2.0,1.0,100.0,0.698354959487915
185,2.0,1.0,100.0,0.583061933517456
186,2.0,1.0,100.0,0.6662235260009766
187,2.0,1.0,100.0,0.72359299659729
188,2.0,1.0,100.0,0.7331389784812927
189,2.0,1.0,100.0,0.7208709716796875
190,2.0,1.0,100.0,0.7778025269508362
191,2.0,1.0,100.0,0.6895148754119873
192,2.0,1.0,100.0,0.6935121417045593
193,2.0,1.0,100.0,0.7459983229637146
194,2.0,1.0,100.0,0.6368608474731445
195,2.0,1.0,100.0,0.7055544853210449
196,2.0,1.0,100.0,0.7193478345870972
197,2.0,1.0,100.0,0.5677093267440796
198,2.0,1.0,100.0,0.7080612182617188
199,2.0,1.0,100.0,0.7163991928100586
200,2.0,1.0,100.0,0.7152881026268005
201,2.0,1.0,100.0,0.6889864802360535
202,2.0,1.0,100.0,0.6149345636367798
203,2.0,1.0,100.0,0.7036660313606262
204,2.0,1.0,100.0,0.6522597670555115
205,2.0,1.0,100.0,0.7040905356407166
206,2.0,1.0,100.0,0.7105270028114319
207,2.0,1.0,100.0,0.707767128944397
208,2.0,1.0,100.0,0.7371335029602051
209,2.0,1.0,100.0,0.6891385316848755
210,2.0,1.0,100.0,0.6804726123809814
211,2.0,1.0,100.0,0.6857364177703857
212,2.0,1.0,100.0,0.6801221370697021
213,2.0,1.0,100.0,0.6982721090316772
214,2.0,1.0,100.0,0.721965491771698
215,2.0,1.0,100.0,0.6952323913574219
216,2.0,1.0,100.0,0.7167579531669617
217,2.0,1.0,100.0,0.7221094965934753
218,2.0,1.0,100.0,0.6237024664878845
219,2.0,1.0,100.0,0.7858851552009583
220,2.0,1.0,100.0,0.6779236197471619
221,2.0,1.0,100.0,0.7071219086647034
222,2.0,1.0,100.0,0.6384462714195251
223,2.0,1.0,100.0,0.6835799217224121
224,2.0,1.0,100.0,0.728955864906311
225,2.0,1.0,100.0,0.6769825220108032
226,2.0,1.0,100.0,0.7010190486907959
227,2.0,1.0,100.0,0.6468233466148376
228,2.0,1.0,100.0,0.7380104660987854
229,2.0,1.0,100.0,0.5772689580917358
230,2.0,1.0,100.0,0.7069052457809448
231,2.0,1.0,100.0,0.7045240998268127
232,2.0,1.0,100.0,0.738516092300415
233,2.0,1.0,100.0,0.6958497762680054
234,2.0,1.0,100.0,0.5912825465202332
235,2.0,1.0,100.0,0.6838365793228149
236,2.0,1.0,100.0,0.690345287322998
237,2.0,1.0,100.0,0.7222850322723389
238,2.0,1.0,100.0,0.7044073939323425
239,2.0,1.0,100.0,0.6894795298576355
240,2.0,1.0,100.0,0.7345699071884155
241,2.0,1.0,100.0,0.6584952473640442
242,2.0,1.0,100.0,0.7221241593360901
243,2.0,1.0,100.0,0.7038230299949646
244,2.0,1.0,100.0,0.7356091141700745
245,2.0,1.0,100.0,0.6424247622489929
246,2.0,1.0,100.0,0.6919940114021301
247,2.0,1.0,100.0,0.7002339959144592
248,2.0,1.0,100.0,0.7127664685249329
249,2.0,1.0,100.0,0.7083688378334045
250,2.0,2.0,100.0,0.8042728304862976
251,2.0,2.0,100.0,0.7911263108253479
252,2.0,2.0,100.0,0.725753903388977
253,2.0,2.0,100.0,0.7024298906326294
254,2.0,2.0,100.0,0.7085487246513367
