Day,x,y
1,0,0
2,0,0
3,1,0
4,1,1.994988297
5,3,3.3894353268
6,2,1.8798528949
7,2,0.9399264474
8,3,7.1129965836
9,3,4.876979406
10,8,9.7761719526
11,0,4.8880859763
12,12,31.0292553566
13,5,17.0192738824
14,11,20.513248862
15,16,55.9291799716
16,8,41.8150315545
17,11,49.4645804463
18,9,41.5958443728
19,8,21.9749905435
20,11,15.5999273134
21,12,15.4760808822
22,13,26.872728751
23,5,16.5923350411
24,11,32.6207624784
25,9,18.8631310304
26,8,16.3441786906
27,11,27.773573329
28,9,18.850949464
29,14,23.7343838065
30,10,47.0491622274
31,19,36.160922307
32,13,65.2287948917
33,18,40.7078929166
34,10,22.9754825668
35,17,33.1391148665
36,14,60.5317600307
37,8,31.09981432
38,19,25.0934735283
39,16,34.8304804647
40,11,23.4155226677
41,14,26.5145345901
42,13,25.7063780119
43,14,16.2080104775
44,20,48.9995197969
45,19,181.6055506752
46,18,102.74394325
47,15,54.2014277127
48,16,37.1378800704
49,15,29.428807548
50,14,20.377577915
51,14,18.9017891879
52,28,26.8072496743
53,14,11930.5725039636
54,16,5977.6219136414
55,18,3004.3951969455
56,11,1505.3300849452
57,16,793.9479924402
58,12,407.8264053078
59,10,414.0048277867
60,19,264.7415533764
61,15,142.9702701495
62,18,73.3991965179
63,11,41.6760259249
64,16,29.4428801516
65,12,20.0748322965
66,16,61.3485625794
67,16,58.520945716
68,13,48.9148618321
69,15,33.6076921452
70,17,47.9961040002
71,17,42.7913513433
72,13,29.2023036898
73,19,41.0977434544
74,16,32.0291342068
75,11,21.6176473012
76,14,19.1348111222
77,16,133.0068954861
78,14,68.698252565
79,16,43.0334012471
80,14,400.822439759
81,10,206.3309837894
82,18,160.6459182346
83,14,101.7667480264
84,20,109.4397997331
85,14,80.6055733692
86,15,47.3649877836
87,20,45.2760548774
88,16,30.047877358
89,17,42.7391541167
90,20,32.5623659751
91,15,28.5792760321
92,15,45.3427558721
93,13,27.770081292
94,16,31.5539291089
95,20,34.5712336083
96,24,40.5989230665
97,13,129.6045072243
98,11,388.7276263365
99,15,222.0938796959
100,17,131.8627495463
101,17,78.900553405
102,12,55.4482872494
103,15,40.5290867876
104,23,73.1082799823
105,24,45.5243379434
106,24,92.0356733043
107,16,85.9649992199
108,26,68.0821775884
109,9,42.7818857721
110,16,35.6394104153
111,10,21.7981889301
112,12,25.0948033255
113,16,20.7810298117
114,20,83.7300214938
115,25,122.9009105482
116,20,83.837016333
117,16,75.9605343802
118,16,44.3331070901
119,10,35.6002153505
120,23,83.1164842076
121,14,55.6166695279
122,21,38.4250151394
123,22,39.4604700789
124,12,30.1419555889
125,14,21.1751214194
126,18,19.9273327637
127,14,45.0264155553
128,19,51.2702296584
129,11,35.2069497311
130,17,100.2522613998
131,16,67.9044120768
132,16,59.6165322209
133,23,52.7636419242
134,11,60.909706755
135,18,72.9391895239
136,10,42.6972755406
137,15,169.1861156693
