Day,SuicideAttemptCount,SocialMediaDiscussion
1,0,0.0
2,0,0.0
3,1,0.0
4,5,1.994988296982358
5,5,36.500915590183396
6,7,24.969820163604133
7,2,15.90242786386774
8,3,9.032666636131607
9,4,6.777371926548969
10,5,12.1004813579155
11,3,7.598717689970886
12,8,11.290993336555575
13,4,6.120602227865607
14,11,25.048833194454843
15,5,16.216589258553554
16,7,8.42385188396772
17,11,10.097813842430535
18,7,13.252628975524074
19,6,19.11342842468832
20,11,408.4362927285084
21,14,209.72552644983236
22,14,110.98018465297633
23,10,66.84343627556302
24,12,74.88619094784569
25,13,50.71298612063866
26,8,31.622905048365737
27,18,41.00301186893302
28,4,21.17694946878528
29,13,16.13862138017842
30,11,8.800726876253789
31,14,39.03952137590539
32,11,507.1669605992717
33,8,416.5133469360678
34,16,223.03138881250007
35,17,126.26223250093447
36,8,74.09508264487718
37,8,50.85058314688398
38,14,32.0289649234656
39,16,34.35050384914648
40,16,43.40063389935229
41,13,43.56920766766114
42,13,37.13435080448944
43,14,30.093761770078093
44,12,22.69694995856211
45,14,377.3914782141909
46,11,194.2753232545356
47,10,98.36593724456988
48,14,89.69972268231209
49,18,52.98143243818394
50,14,60.14600441939394
51,13,50.09335558138008
52,25,58.49560192662781
53,13,1599.5317486124413
54,22,818.6350300265395
55,13,415.95360007639266
56,19,230.59796232255692
57,21,159.88205774844266
58,18,103.51547985498058
59,13,56.931965749592834
60,18,35.36517852327064
61,21,31.97577043838318
62,16,33.63608533710979
63,11,41.98821705694144
64,18,26.92074625178724
65,18,34.787005420008384
66,21,119.97406538060088
67,21,67.83990085301367
68,16,48.08007157249427
69,16,52.79626255070208
70,20,47.86307349819076
71,17,54.695346019844386
72,20,52.205811947273
73,16,61.36043626019148
74,20,66.43437960011728
75,17,90.04784778621438
76,17,96.2606982317045
77,19,75.85157330070507
78,16,49.03987192455188
79,17,763.7838675229583
80,25,415.5846649519484
81,17,232.48907101434787
82,21,126.32813068372516
83,21,78.73740566404844
84,25,100.68515493202737
85,18,81.59982494389989
86,22,44.93860084959361
87,21,40.84817992790528
88,22,48.1301733212144
