Day,SuicideAttemptCount,SocialMediaDiscussion
1,0,0.0
2,0,0.0
3,1,0.0
4,1,1.994988296982358
5,3,3.3894353268199047
6,2,1.8798528948796374
7,2,0.9399264474398187
8,3,7.112996583606241
9,3,4.876979405987566
10,8,9.776171952552007
11,0,4.888085976276003
12,12,31.029255356560803
13,5,17.019273882387306
14,11,20.513248862012123
15,16,55.92917997160311
16,8,41.81503155454047
17,11,49.464580446288316
18,9,41.595844372758336
19,8,21.974990543481514
20,11,15.599927313445976
21,12,15.476080882209548
22,13,26.872728750997847
23,5,16.592335041114765
24,11,32.620762478447425
25,9,18.863131030355497
26,8,16.34417869063177
27,11,27.773573329023677
28,9,18.85094946400389
29,14,23.734383806506564
30,10,47.049162227423885
31,19,36.16092230698902
32,13,65.22879489167079
33,18,40.70789291658371
34,10,22.975482566765795
35,17,33.139114866547864
36,14,60.53176003069146
37,8,31.099814320030237
38,19,25.093473528284353
39,16,34.83048046473165
40,11,23.415522667661556
41,14,26.51453459014002
42,13,25.706378011948747
43,14,16.20801047749547
44,20,48.99951979690713
45,19,181.60555067520815
46,18,102.74394324997405
47,15,54.201427712735494
48,16,37.137880070360254
49,15,29.428807548001654
50,14,20.37757791501324
51,14,18.901789187946417
52,28,26.807249674303797
53,14,11930.572503963569
54,16,5977.621913641345
55,18,3004.3951969454893
56,11,1505.3300849452091
57,16,793.9479924402475
58,12,407.82640530777013
59,10,414.00482778665634
60,19,264.74155337640696
61,15,142.97027014944993
62,18,73.39919651786686
63,11,41.676025924935
64,16,29.442880151646477
65,12,20.074832296498275
66,16,61.34856257939619
67,16,58.52094571597165
68,13,48.91486183212017
69,15,33.607692145237976
70,17,47.99610400015811
71,17,42.791351343298025
72,13,29.202303689813576
73,19,41.097743454377714
74,16,32.029134206782075
75,11,21.617647301213033
76,14,19.134811122185337
77,16,133.00689548614878
78,14,68.69825256501366
79,16,43.03340124707983
80,14,400.8224397590166
81,10,206.33098378944615
82,18,160.64591823462587
83,14,101.76674802640773
84,20,109.43979973312365
85,14,80.60557336915838
86,15,47.36498778359651
87,20,45.27605487740033
88,16,30.04787735798731
